Empreendimento,Tipo de Geração,Potência Outorgada (kW),Latitude,Longitude,DscMuninicpios
Santa Luzia V,UFV,50000.0,"-6,90118394","-36,96518108",Santa Luzia - PB
Santa Luzia VII,UFV,50000.0,"-6,90529463","-36,97303390",Santa Luzia - PB
Santa Luzia IX,UFV,50000.0,"-6,91806000","-36,97100000",Santa Luzia - PB
Polpa Ideal Ii,UFV,226.4,"-7,16741000","-34,82441000",João Pessoa - PB
Serra do Seridó XVI,EOL,46400.0,"-7,03944590","-36,79136928",Junco do Seridó - PB
Serra do Seridó XVII,EOL,34800.0,"-7,02601477","-36,75363186",Junco do Seridó - PB
Polpa Ideal I,UFV,217.2,"-7,16381000","-34,82389000",João Pessoa - PB
Nordestao Pb,UFV,900.0,"-7,16638889","-34,86111111",João Pessoa - PB
X3 Reciclagens,UFV,300.0,"-6,89972219","-38,52972219",Cajazeiras - PB
Patex,UFV,300.0,"-6,89408531","-38,53079389",Cajazeiras - PB
Edr Construções,UFV,1845.0,"-7,70333331","-36,86361111",Sumé - PB
Supermercado Guedes,UFV,300.0,"-7,02821081","-37,28153611",Patos - PB
LAMINOR_UFV,UFV,140.0,-6.3265408967843975,-37.70878547301616,Catolé do Rocha - PB
ITATEX,UFV,108.0,-7.3283816143434874,-38.141135299999995,Itaporanga - PB
HUMAITA I,UFV,200.0,-7.212568818951673,-34.85277052883603,João Pessoa - PB
LAMINOR MATRIZ AUTOPRODUTOR,UFV,200.0,-6.3265408967843975,-37.70874255767205,Catolé do Rocha - PB
