COD_ID,DIST,POS,NOME,DESCR,Shape_Length,Shape_Area,geometry
12873477,6600,PD,SE CAAPORÃ, ,0.002215255828062383,3.0225068235021274e-07,"MULTIPOLYGON (((-34.88804494182057 -7.5141292857379085, -34.88772035670905 -7.514321229840846, -34.8878750742752 -7.514846924945573, -34.8883851310689 -7.5145844461152365, -34.888232487339394 -7.51411687869097, -34.8881241010464 -7.514172347076112, -34.88808703009232 -7.5141244473853135, -34.88804494182057 -7.5141292857379085)))"
12873478,6600,PD,SE CRISTO, ,0.002024138862338011,2.552185934573967e-07,"MULTIPOLYGON (((-34.876896031126876 -7.167490240881875, -34.87737222574759 -7.1674298235274705, -34.8772947806296 -7.1669004663833675, -34.876824010719474 -7.166960571672973, -34.876896031126876 -7.167490240881875)))"
12873479,6600,PD,SE DISTRITO INDUSTRIAL, ,0.0031375221907588317,5.437932886314056e-07,"MULTIPOLYGON (((-34.90729868488637 -7.181015382553824, -34.90731490685744 -7.18100984273002, -34.907129918111195 -7.180399651822427, -34.907011630282454 -7.180018891458644, -34.906518206450016 -7.180174107249229, -34.90670460263527 -7.18082879481301, -34.906760256280734 -7.18088929760296, -34.90675521468137 -7.180907480096096, -34.90674386883444 -7.180953668377072, -34.906814904484236 -7.181163104293773, -34.90681702148828 -7.181168807794222, -34.90681869692526 -7.181173334981395, -34.9069441451561 -7.181127984868567, -34.90729868488637 -7.181015382553824)))"
12873480,6600,PD,SE-PARATIBE, ,0.0021950861615351327,2.7697396959663897e-07,"MULTIPOLYGON (((-34.82947790658011 -7.211144015583784, -34.82916111949004 -7.210605903539545, -34.828863571596514 -7.210896234373649, -34.8291439730159 -7.211500691203867, -34.82947790658011 -7.211144015583784)))"
12873481,6600,PD,SE ORATORIO, ,0.003782022335720604,8.934863043874536e-07,"MULTIPOLYGON (((-35.148282577978534 -7.38516296369977, -35.14828519680435 -7.386112422949907, -35.14921636744134 -7.386114149648222, -35.14920450988018 -7.38513518454107, -35.148282577978534 -7.38516296369977)))"
12873482,6600,PD,SE CONDE, ,0.0026047220139159407,4.1727758839524635e-07,"MULTIPOLYGON (((-34.93680514803913 -7.262529788019265, -34.937532744540476 -7.2622833773759226, -34.9373806233171 -7.2619050937450424, -34.937302027966155 -7.261711371682395, -34.93671409617855 -7.261952718243322, -34.93680514803913 -7.262529788019265)))"
12873483,6600,PD,SE JOÃO PESSOA, ,0.0033001280486016373,6.822483867098098e-07,"MULTIPOLYGON (((-34.86722350236272 -7.129493909616201, -34.86706726584163 -7.129610169473722, -34.86746716467786 -7.1303051808394, -34.868189134121224 -7.129930157250897, -34.867790556389025 -7.129228750806135, -34.86773359333063 -7.129264873874774, -34.86771939123685 -7.129226849639338, -34.86769845322101 -7.129214662026982, -34.86722350236272 -7.129493909616201)))"
12873485,6600,PD,SE LUCENA, ,0.0021412148411122404,2.5484487606317376e-07,"MULTIPOLYGON (((-34.90735528371931 -6.945160833905334, -34.907691774955424 -6.945168165178643, -34.90773250615018 -6.944468748933559, -34.90735405974203 -6.944436601767734, -34.90735528371931 -6.945160833905334)))"
12873486,6600,PD,SE MATA REDONDA, ,0.0024626099883458233,3.3067072632940536e-07,"MULTIPOLYGON (((-34.95066103248064 -7.335161256886465, -34.950964689468776 -7.335104890078583, -34.95088827767182 -7.33466970274452, -34.950260053558566 -7.334795872231666, -34.95036515822545 -7.335376150788704, -34.95068613525689 -7.335313624524133, -34.95066103248064 -7.335161256886465)))"
12873487,6600,PD,SE RIO TINTO, ,0.001711977413392862,1.8068731439292192e-07,"MULTIPOLYGON (((-35.10133834398931 -6.815618921476016, -35.10100118815427 -6.815449493699134, -35.100876370348146 -6.815698220996069, -35.10078734106287 -6.815876207620818, -35.101118052356185 -6.816049734507601, -35.10122629925428 -6.815840314778654, -35.10133834398931 -6.815618921476016)))"
12873488,6600,PD,SE MANGABEIRA, ,0.00409138211879692,8.933297671956266e-07,"MULTIPOLYGON (((-34.820330773446415 -7.161044937373902, -34.820328160016516 -7.161014449457241, -34.82020446816165 -7.161062358141294, -34.82017702984598 -7.161083699952769, -34.82014349412691 -7.16113509261038, -34.82012999260502 -7.161179081149612, -34.82013957398209 -7.161274898517718, -34.820084696451545 -7.161289053846701, -34.82007751086837 -7.161258783565984, -34.82004702295171 -7.1612150126626375, -34.820014793947564 -7.161191494491845, -34.81998844381161 -7.161180605500476, -34.81996361892584 -7.161175379540111, -34.819934002452214 -7.161173201382098, -34.8199039507067 -7.161178863513669, -34.819365631818414 -7.161383782135772, -34.819482136291526 -7.161804725107913, -34.819579914181645 -7.162225885715998, -34.82038390809083 -7.162188212216165, -34.820330773446415 -7.161044937373902)))"
12912327,6600,PD,SE SANTA LUZIA, ,0.0036885749381961154,8.44981250121694e-07,"MULTIPOLYGON (((-36.93201253814806 -6.877332416557749, -36.93129532072243 -6.876722897443699, -36.93079075069255 -6.8774759384637605, -36.93147223805329 -6.878085303793682, -36.93201253814806 -6.877332416557749)))"
